"COORD_REF_SYS_CODE","COORD_REF_SYS_NAME","DATUM_CODE","DATUM_NAME","UOM_CODE","ELLIPSOID_CODE","PRIME_MERIDIAN_CODE","COORD_OP_METHOD_CODE","DX","DY","DZ","RX","RY","RZ","DS"
4807,"NTF (Paris)",6807,"Nouvelle Triangulation Francaise (Paris)",9105,7011,8903,,,,,,,,
4808,"Padang (Jakarta)",6808,"Padang 1884 (Jakarta)",9108,7004,8908,,,,,,,,
4809,"Belge 1950 (Brussels)",6809,"Reseau National Belge 1950 (Brussels)",9108,7022,8910,,,,,,,,
4810,"Tananarive (Paris)",6810,"Tananarive 1925 (Paris)",9105,7022,8903,,,,,,,,
4811,"Voirol 1875 (Paris)",6811,"Voirol 1875 (Paris)",9105,7011,8903,,,,,,,,
4813,"Batavia (Jakarta)",6813,"Batavia (Jakarta)",9108,7004,8908,,,,,,,,
4814,"RT38 (Stockholm)",6814,"Stockholm 1938 (Stockholm)",9108,7004,8911,,,,,,,,
4815,"Greek (Athens)",6815,"Greek (Athens)",9108,7004,8912,,,,,,,,
4816,"Carthage (Paris)",6816,"Carthage (Paris)",9105,7011,8903,,,,,,,,
4817,"NGO 1948 (Oslo)",6817,"NGO 1948 (Oslo)",9108,7005,8913,9606,278.3,93.0,474.5,7.889,0.05,-6.61,6.21
4818,"S-JTSK (Ferro)",6818,"S-JTSK (Ferro)",9108,7004,8909,,,,,,,,
4819,"Nord Sahara 1959 (Paris)",6819,"Nord Sahara 1959 (Paris)",9105,7012,8903,,,,,,,,
4820,"Segara (Jakarta)",6820,"Gunung Segara (Jakarta)",9108,7004,8908,,,,,,,,
4901,"ATF (Paris)",6901,"Ancienne Triangulation Francaise (Paris)",9105,7027,8903,,,,,,,,
4902,"NDG (Paris)",6902,"Nord de Guerre (Paris)",9105,7027,8903,,,,,,,,
4903,"Madrid 1870 (Madrid)",6903,"Madrid 1870 (Madrid)",9108,7028,8905,,,,,,,,
4904,"Lisbon 1890 (Lisbon)",6904,"Lisbon 1890 (Lisbon)",9108,7004,8902,,,,,,,,
